Time_s,R_index,RR_interval_s,HR_BPM
197.804,24466,0.536,111.94029850746269
198.336,24533,0.536,111.94029850746269
198.87,24599,0.528,113.63636363636363
199.404,24666,0.536,111.94029850746269
199.936,24733,0.536,111.94029850746269
200.507,24804,0.568,105.63380281690142
201.102,24878,0.592,101.35135135135135
201.724,24955,0.616,97.40259740259741
202.348,25032,0.616,97.40259740259741
202.976,25109,0.616,97.40259740259741
203.577,25187,0.624,96.15384615384616
204.189,25264,0.616,97.40259740259741
204.792,25339,0.6,100.0
205.369,25412,0.584,102.73972602739727
205.954,25485,0.584,102.73972602739727
206.522,25556,0.568,105.63380281690142
207.097,25627,0.568,105.63380281690142
207.656,25697,0.56,107.14285714285714
208.211,25766,0.552,108.69565217391303
208.762,25835,0.552,108.69565217391303
209.338,25907,0.576,104.16666666666667
209.918,25979,0.576,104.16666666666667
210.481,26050,0.568,105.63380281690142
211.036,26120,0.56,107.14285714285714
211.602,26190,0.56,107.14285714285714
212.156,26259,0.552,108.69565217391303
212.709,26327,0.544,110.29411764705881
213.256,26394,0.536,111.94029850746269
213.779,26462,0.544,110.29411764705881
214.314,26529,0.536,111.94029850746269
214.856,26596,0.536,111.94029850746269
215.399,26665,0.552,108.69565217391303
215.954,26734,0.552,108.69565217391303
216.501,26802,0.544,110.29411764705881
217.101,26875,0.584,102.73972602739727
217.736,26954,0.632,94.9367088607595
218.408,27041,0.696,86.20689655172414
219.134,27131,0.72,83.33333333333334
219.929,27230,0.792,75.75757575757575
220.706,27328,0.784,76.53061224489795
221.481,27425,0.776,77.31958762886597
222.233,27518,0.744,80.64516129032258
222.941,27608,0.72,83.33333333333334
223.643,27695,0.696,86.20689655172414
224.323,27780,0.68,88.23529411764706
224.994,27863,0.664,90.36144578313252
225.633,27944,0.648,92.5925925925926
226.278,28024,0.64,93.75
226.918,28104,0.64,93.75
227.566,28185,0.648,92.5925925925926
228.193,28264,0.632,94.9367088607595
228.826,28342,0.624,96.15384615384616
229.448,28420,0.624,96.15384615384616
230.086,28499,0.632,94.9367088607595
230.729,28579,0.64,93.75
231.398,28664,0.68,88.23529411764706
232.102,28751,0.696,86.20689655172414
232.807,28840,0.712,84.26966292134831
233.511,28928,0.704,85.22727272727273
234.253,29020,0.736,81.52173913043478
234.971,29108,0.704,85.22727272727273
235.669,29194,0.688,87.2093023255814
236.314,29278,0.672,89.28571428571428
236.977,29361,0.664,90.36144578313252
237.639,29444,0.664,90.36144578313252
238.283,29524,0.64,93.75
238.952,29607,0.664,90.36144578313252
239.658,29695,0.704,85.22727272727273
240.414,29790,0.76,78.94736842105263
241.173,29885,0.76,78.94736842105263
241.918,29978,0.744,80.64516129032258
242.611,30065,0.696,86.20689655172414
243.329,30152,0.696,86.20689655172414
244.025,30241,0.712,84.26966292134831
244.759,30333,0.736,81.52173913043478
245.446,30419,0.688,87.2093023255814
246.084,30499,0.64,93.75
246.722,30579,0.64,93.75
247.364,30658,0.632,94.9367088607595
247.969,30735,0.616,97.40259740259741
248.589,30812,0.616,97.40259740259741
249.232,30892,0.64,93.75
249.923,30978,0.688,87.2093023255814
250.608,31064,0.688,87.2093023255814
251.267,31147,0.664,90.36144578313252
251.962,31233,0.688,87.2093023255814
252.689,31323,0.72,83.33333333333334
253.382,31411,0.704,85.22727272727273
254.077,31497,0.688,87.2093023255814
254.766,31584,0.696,86.20689655172414
255.453,31666,0.656,91.46341463414633
256.036,31742,0.608,98.6842105263158
256.632,31817,0.6,100.0
257.222,31890,0.584,102.73972602739727
257.808,31963,0.584,102.73972602739727
258.388,32035,0.576,104.16666666666667
258.97,32109,0.592,101.35135135135135
259.604,32188,0.632,94.9367088607595
260.297,32273,0.68,88.23529411764706
261.022,32365,0.736,81.52173913043478
261.768,32458,0.744,80.64516129032258
262.527,32552,0.752,79.7872340425532
